,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
0,Albania,Maize,1990,36613,1485.0,121.0,16.37
1,Albania,Maize,1991,29068,1485.0,121.0,15.36
2,Albania,Maize,1992,24876,1485.0,121.0,16.06
3,Albania,Maize,1993,24185,1485.0,121.0,16.05
4,Albania,Maize,1994,25848,1485.0,201.0,16.96
5,Albania,Maize,1995,31300,1485.0,251.0,15.67
6,Albania,Maize,1996,32604,1485.0,313.96,15.64
7,Albania,Maize,1997,31862,1485.0,376.93,15.9
8,Albania,Maize,1998,33416,1485.0,439.89,16.27
9,Albania,Maize,1999,37455,1485.0,502.86,16.57
10,Albania,Maize,2000,38811,1485.0,565.82,16.67
11,Albania,Maize,2001,38135,1485.0,628.79,16.59
12,Albania,Maize,2002,39460,1485.0,691.75,16.47
13,Albania,Maize,2004,46197,1485.0,817.68,16.16
14,Albania,Maize,2005,45442,1485.0,880.64,15.67
15,Albania,Maize,2006,50111,1485.0,943.61,15.92
16,Albania,Maize,2007,46732,1485.0,1006.57,16.67
17,Albania,Maize,2008,50000,1485.0,1069.54,16.71
18,Albania,Maize,2009,55693,1485.0,1132.5,16.73
19,Albania,Maize,2010,66790,1485.0,1311.17,16.52
20,Albania,Maize,2011,59869,1485.0,1302.63,16.45
21,Albania,Maize,2012,67290,1485.0,766.25,16.7
22,Albania,Maize,2013,69533,1485.0,982.32,17.41
23,Albania,Potatoes,1990,66667,1485.0,121.0,16.37
24,Albania,Potatoes,1991,77818,1485.0,121.0,15.36
25,Albania,Potatoes,1992,82920,1485.0,121.0,16.06
26,Albania,Potatoes,1993,98446,1485.0,121.0,16.05
27,Albania,Potatoes,1994,81404,1485.0,201.0,16.96
28,Albania,Potatoes,1995,111323,1485.0,251.0,15.67
29,Albania,Potatoes,1996,106138,1485.0,313.96,15.64
30,Albania,Potatoes,1997,109874,1485.0,376.93,15.9
31,Albania,Potatoes,1998,127212,1485.0,439.89,16.27
32,Albania,Potatoes,1999,142018,1485.0,502.86,16.57
